glomerulus,mean_red,mean_green,total_red,total_green
glom_1,676.3727465599810,84.79254409892710,123066952.0,18570581.0
glom_2,652.2598978255850,83.56350987087000,141331560.0,21950133.0
glom_3,963.6896572369870,100.21852734873300,657946263.0,77084679.0
glom_4,555.8391070489750,75.69341205969180,78575157.0,13029522.0
glom_5,571.0343050861510,70.38853697982540,122150725.0,17659321.0
glom_6,531.7309209470480,77.01729468109370,141318282.0,23696299.0
glom_7,505.7208891266300,69.96811133270150,195812157.0,30945501.0
glom_8,508.61808259889300,64.59963192594110,135244078.0,19921794.0
glom_9,426.5986831020560,49.287756353661900,74540022.0,10112622.0
glom_10,475.453792340437,60.6280787678857,80814724.0,11739260.0
glom_11,726.3006948148360,70.15470201284880,320131124.0,34021893.0
glom_12,512.0825391728740,60.5323400976111,88657633.0,11791128.0
glom_13,423.927831581128,48.40614480294160,38584245.0,5270100.0
glom_14,425.24987075916500,60.14786694752440,65678780.0,11238003.0
glom_15,459.58396946564900,68.1609269209826,104501352.0,18694812.0
glom_16,515.7868503101260,74.09606454608780,143328562.0,25157255.0
glom_17,554.8760608614780,88.11181915944890,86791061.0,16638949.0
glom_18,547.7768517339650,86.90957524949320,63020589.0,12080245.0
