Neuron1Id,Neuron2,Neuron2type,Neuron2Id,Weight,Neuron2Pre,Neuron2Post,WeightHP
911470352,EPG(PB08)_R3,EPG,541118908,35,523,3796,22
911470352,EPG(PB08)_R3,EPG,5813080838,34,552,4198,23
911470352,EPG(PB08)_L5,EPG,819828986,24,513,3264,13
911470352,EPG(PB08)_R4,EPG,695956656,24,464,3738,15
911470352,Delta7(PB15)_L1L9R8_R,Delta7,911574261,23,579,1283,10
911470352,Delta7(PB15)_L4R5_R,Delta7,880880259,23,546,1208,9
911470352,Delta7(PB15)_L4R5_R,Delta7,910442723,22,525,1157,14
911470352,Delta7(PB15)_L2R7_R,Delta7,911574041,22,513,1150,9
911470352,Delta7(PB15)_L4R5_R,Delta7,911129339,21,523,1045,13
911470352,EPG(PB08)_R4,EPG,633546217,21,413,3200,12
911470352,EPG(PB08)_R5,EPG,694920753,20,455,3441,10
911470352,Delta7(PB15)_L6R3_L,Delta7,911919044,19,546,1186,13
911470352,Delta7(PB15)_L7R3_L,Delta7,941810314,18,514,1031,11
911470352,Delta7(PB15)_L3R6_R,Delta7,910783961,18,596,1127,11
911470352,Delta7(PB15)_L5R4_L,Delta7,910801332,17,500,1084,10
911470352,Delta7(PB15)_L6R3_L,Delta7,973959177,16,496,1071,8
911470352,Delta7(PB15)_L2R7_R,Delta7,911911699,16,498,990,6
911470352,Delta7(PB15)_L6R4_L,Delta7,911211196,16,570,1110,10
911470352,EPG(PB08)_L4,EPG,634962055,16,530,3515,8
911470352,EPG(PB08)_R3,EPG,478375456,16,483,4249,12
911470352,EPG(PB08)_R4,EPG,416642425,16,470,3834,13
911470352,EPG(PB08)_R5,EPG,5813027103,15,491,3574,10
911470352,Delta7(PB15)_L4R5_R,Delta7,911138168,15,540,1054,7
911470352,Delta7(PB15)_L4R5_R,Delta7,911134009,15,534,1125,4
911470352,EPG(PB08)_L5,EPG,696362840,15,536,3491,6
911470352,EPG(PB08)_R2,EPG,632544268,15,432,3959,10
911470352,Delta7(PB15)_L1L9R8_R,Delta7,5813061383,14,608,1322,9
911470352,Delta7(PB15)_L7R2_L,Delta7,1158747783,14,500,1159,9
911470352,Delta7(PB15)_L2R7_R,Delta7,942522378,14,508,1059,6
911470352,Delta7(PB15)_L8R1R9_L,Delta7,911911193,14,594,1221,10
911470352,EPG(PB08)_L4,EPG,665314820,14,546,3576,11
911470352,Delta7(PB15)_L6R3_L,Delta7,941814787,13,529,1084,8
911470352,Delta7(PB15)_L4R6_R,Delta7,910442782,13,559,1061,7
911470352,EPG(PB08)_R2,EPG,695629525,13,472,4153,6
911470352,EPG(PB08)_L4,EPG,5813022281,12,543,3272,5
911470352,Delta7(PB15)_L2R7_R,Delta7,911578496,12,552,1210,8
911470352,Delta7(PB15)_L7R2_L,Delta7,911129204,12,505,1153,7
911470352,Delta7(PB15)_L3R6_R,Delta7,911565419,12,546,1022,5
911470352,Delta7(PB15)_L4R6_R,Delta7,911901802,11,555,1254,6
911470352,Delta7(PB15)_L8R1R9_L,Delta7,910442752,11,528,1200,5
911470352,Delta7(PB15)_L5R4_L,Delta7,910796989,11,524,1342,6
911470352,Delta7(PB15)_L8R1R9_L,Delta7,910783731,11,579,1187,5
911470352,Delta7(PB15)_L5R4_L,Delta7,880530613,11,504,1136,5
911470352,Delta7(PB15)_L3R6_R,Delta7,911906936,10,525,1135,4
911470352,Delta7(PB15)_L6R4_L,Delta7,911241750,10,593,1361,2
