bodyId_pre,instance_pre,type_pre,bodyId_post,instance_post,type_post,roi,weight
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1168664447,EPGt(PB09)_L9,EPGt,PB(L9),76
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1220584946,PEN_b(PB06b)_L9,PEN_b(PEN2),PB(L9),61
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1168660239,EPGt(PB09)_L9,EPGt,PB(L9),53
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1251275120,PFNa(PB03)_L9_C9,PFNa,PB(L9),48
911919917,Delta7(PB15)_L1L9R8_R,Delta7,5813069339,IbSpsP(PB17)_L9,IbSpsP,PB(L9),47
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1199677638,PEG(PB07)_L9,PEG,PB(L9),46
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1600083889,PEN_b(PB06b)_L9,PEN_b(PEN2),PB(L9),39
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1188181261,PFNd(PB04)_L9_C8,PFNd,PB(L9),36
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1600079770,PFNv(PB05)_L9_C9,PFNv,PB(L9),28
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1187844616,PFNd(PB04)_L9_C8,PFNd,PB(L9),27
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1032643905,PFNa(PB03)_L9_C9,PFNa,PB(L9),26
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1187831582,PFNa(PB03)_L9_C9,PFNa,PB(L9),25
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1095275456,LPsP(PB13)_L,LPsP,PB(L9),21
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1599747200,PFNp_c(PB01c)_L9_C9,PFNp_c,PB(L9),20
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1220576923,PEN_a(PB06a)_L9,PEN_a(PEN1),PB(L9),18
911919917,Delta7(PB15)_L1L9R8_R,Delta7,881217171,LPsP(PB13)_R,LPsP,PB(L9),18
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1661458883,PFNp_c(PB01c)_L9_C9,PFNp_c,PB(L9),15
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1188163963,PFNm_a(PB02a)_L9_C9,PFNm_a,PB(L9),15
911919917,Delta7(PB15)_L1L9R8_R,Delta7,911919044,Delta7(PB15)_L6R3_L,Delta7,PB(L9),14
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1220581302,PFNp_a(PB01a)_L9_C8,PFNp_a,PB(L9),13
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1004018344,P6-8P9(PB14)_L,P6-8P9,PB(L9),12
911919917,Delta7(PB15)_L1L9R8_R,Delta7,911911004,Delta7(PB15)_L1L9R8_R,Delta7,PB(L9),11
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1220239654,,,PB(L9),11
911919917,Delta7(PB15)_L1L9R8_R,Delta7,911211196,Delta7(PB15)_L6R4_L,Delta7,PB(L9),11
911919917,Delta7(PB15)_L1L9R8_R,Delta7,881221166,Delta7(PB15)_L1L9R8_R,Delta7,PB(L9),11
911919917,Delta7(PB15)_L1L9R8_R,Delta7,973959177,Delta7(PB15)_L6R3_L,Delta7,PB(L9),10
911919917,Delta7(PB15)_L1L9R8_R,Delta7,911919815,P6-8P9(PB14)_L,P6-8P9,PB(L9),9
911919917,Delta7(PB15)_L1L9R8_R,Delta7,911574261,Delta7(PB15)_L1L9R8_R,Delta7,PB(L9),8
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1251269930,PFNp_e(PB01a)_L9_C8,PFNp_e,PB(L9),8
911919917,Delta7(PB15)_L1L9R8_R,Delta7,941482720,Delta7(PB15)_L6R3_L,Delta7,PB(L9),8
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1189549476,PFNm_b(PB02b)_L9_C9,PFNm_b,PB(L9),7
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1251952397,PFNp_a(PB01a)_L9_C8,PFNp_a,PB(L9),6
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1125411720,PFNp_c(PB01c)_L9_C9,PFNp_c,PB(L9),6
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1251275095,,,PB(L9),6
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1282305367,,,PB(L9),5
911919917,Delta7(PB15)_L1L9R8_R,Delta7,880875736,Delta7(PB15)_L5R4_L,Delta7,PB(L9),5
911919917,Delta7(PB15)_L1L9R8_R,Delta7,910783883,Delta7(PB15)_L8R1R9_L,Delta7,PB(L9),5
911919917,Delta7(PB15)_L1L9R8_R,Delta7,941814787,Delta7(PB15)_L6R3_L,Delta7,PB(L9),4
911919917,Delta7(PB15)_L1L9R8_R,Delta7,910442752,Delta7(PB15)_L8R1R9_L,Delta7,PB(L9),4
911919917,Delta7(PB15)_L1L9R8_R,Delta7,912243353,Delta7(PB15)_L7R2_L,Delta7,PB(L9),4
911919917,Delta7(PB15)_L1L9R8_R,Delta7,5812994148,PFNm_a(PB02a)_L9_C9,PFNm_a,PB(L9),4
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1158747783,Delta7(PB15)_L7R2_L,Delta7,PB(L9),4
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1200027441,PFGs(PB10)_L9_C9,PFGs,PB(L9),4
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1219889738,PFNp_c(PB01c)_L9_C9,PFNp_c,PB(L9),4
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1251957477,,,PB(L9),4
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1282646571,PFNp_b(PB01b)_L9_C9,PFNp_b,PB(L9),4
911919917,Delta7(PB15)_L1L9R8_R,Delta7,880880259,Delta7(PB15)_L4R5_R,Delta7,PB(L9),3
911919917,Delta7(PB15)_L1L9R8_R,Delta7,880530613,Delta7(PB15)_L5R4_L,Delta7,PB(L9),3
911919917,Delta7(PB15)_L1L9R8_R,Delta7,910796989,Delta7(PB15)_L5R4_L,Delta7,PB(L9),3
911919917,Delta7(PB15)_L1L9R8_R,Delta7,5813048042,Delta7(PB15)_L5R4_L,Delta7,PB(L9),3
911919917,Delta7(PB15)_L1L9R8_R,Delta7,911911193,Delta7(PB15)_L8R1R9_L,Delta7,PB(L9),3
911919917,Delta7(PB15)_L1L9R8_R,Delta7,911134009,Delta7(PB15)_L4R5_R,Delta7,PB(L9),3
911919917,Delta7(PB15)_L1L9R8_R,Delta7,5813095667,PFNm_a(PB02a)_L8_C7,PFNm_a,PB(L9),3
911919917,Delta7(PB15)_L1L9R8_R,Delta7,1251265590,PFNp_b(PB01b)_L9_C8,PFNp_b,PB(L9),2
911919917,Delta7(PB15)_L1L9R8_R,Delta7,910442723,Delta7(PB15)_L4R5_R,Delta7,PB(L9),2
