target_bodyId,PB(L1),PB(L2),PB(L3),PB(L4),PB(L5),PB(L6),PB(L7),PB(L8),PB(L9),PB(R1),PB(R2),PB(R3),PB(R4),PB(R5),PB(R6),PB(R7),PB(R8),PB(R9),TOTAL
734581598,60,33,45,64,19,34,13,16,10,36,22,45,20,21,41,25,14,2,520
880530613,58,42,48,26,49,16,14,31,22,55,20,30,43,19,22,28,33,1,557
880875736,59,45,45,34,46,16,29,31,14,31,34,44,45,15,24,37,35,9,593
880880259,55,34,40,49,43,19,24,20,22,52,42,74,24,39,26,33,39,15,650
881221166,34,18,36,65,55,18,26,12,27,16,27,83,56,53,54,10,9,12,611
910442723,62,29,21,59,34,35,23,15,7,43,31,58,24,36,21,31,39,15,583
910442752,8,22,56,74,59,25,15,19,13,43,32,28,49,40,43,41,14,25,606
910442782,31,7,49,51,26,12,25,13,10,48,16,71,44,16,33,18,25,16,511
910783731,10,16,54,70,43,26,9,21,11,53,14,36,50,45,43,46,7,36,590
910783883,6,18,60,68,55,27,17,14,13,31,21,53,69,61,45,46,10,33,647
910783961,23,8,51,31,43,39,19,17,0,36,49,83,52,27,34,19,13,34,578
910796989,60,35,48,28,45,25,46,35,12,59,50,25,49,23,41,33,41,21,676
910801332,54,28,55,31,38,10,22,19,13,32,33,32,67,18,40,39,24,12,567
911129204,44,33,63,92,38,4,27,7,9,20,64,22,39,34,43,22,17,2,580
911129339,55,28,30,73,21,12,20,28,2,30,33,71,28,38,18,26,29,19,561
911134009,45,24,14,65,3,5,27,20,12,49,46,77,25,39,25,25,46,18,565
911138168,54,26,22,63,30,17,36,16,8,39,38,38,26,42,25,24,38,9,551
911211196,49,29,86,58,30,28,11,15,25,42,33,8,50,16,24,46,20,11,581
911241750,63,33,69,70,43,20,18,23,11,43,23,48,41,35,42,55,29,18,684
911565419,21,19,61,26,20,24,19,19,1,44,51,80,42,15,36,9,19,12,518
911574261,37,10,25,63,63,37,25,10,36,10,35,62,46,49,33,23,17,12,593
911578496,35,45,35,64,36,27,12,14,0,35,45,79,72,40,22,25,4,21,611
911578595,5,18,70,82,35,26,12,25,7,33,16,28,55,65,69,40,8,25,619
911901802,49,22,35,56,27,40,24,24,11,31,41,77,61,26,52,17,29,21,643
911911004,38,9,46,111,73,37,29,14,54,23,23,76,70,59,30,10,17,5,724
911911193,19,14,45,46,44,31,17,13,15,37,17,57,35,50,49,21,13,38,561
911919044,52,30,68,66,29,35,19,4,36,21,22,61,22,52,21,34,16,1,589
911919917,29,2,33,71,49,44,8,4,38,17,11,63,52,45,37,8,25,18,554
912243353,23,36,61,70,32,14,24,11,11,10,35,26,31,56,14,10,14,0,478
941469087,32,12,41,29,22,41,19,29,14,60,46,87,38,22,46,13,34,26,611
941810314,33,43,52,75,19,24,29,20,3,21,22,50,30,30,51,26,16,0,544
941814787,48,40,75,80,11,32,22,8,16,26,22,50,23,32,44,29,22,5,585
973959177,44,30,69,58,23,25,21,4,24,17,23,57,12,24,45,45,25,6,552
1158747783,45,29,83,81,43,15,27,9,13,2,49,27,31,24,31,32,23,0,564
5813048042,39,45,52,30,42,27,20,18,16,49,32,27,67,16,42,38,19,9,588
5813061383,58,7,33,84,40,43,32,9,32,17,38,66,42,56,40,16,14,17,644
