bodyId_pre,instance_pre,type_pre,bodyId_post,instance_post,type_post,roi,weight
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1220584946,PEN_b(PB06b)_L9,PEN_b(PEN2),PB(L9),46
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1168664447,EPGt(PB09)_L9,EPGt,PB(L9),41
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1600083889,PEN_b(PB06b)_L9,PEN_b(PEN2),PB(L9),37
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,5813069339,IbSpsP(PB17)_L9,IbSpsP,PB(L9),30
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1168660239,EPGt(PB09)_L9,EPGt,PB(L9),29
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1187831582,PFNa(PB03)_L9_C9,PFNa,PB(L9),27
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1188181261,PFNd(PB04)_L9_C8,PFNd,PB(L9),23
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1187844616,PFNd(PB04)_L9_C8,PFNd,PB(L9),22
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,911911004,Delta7(PB15)_L1L9R8_R,Delta7,PB(L9),20
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1600079770,PFNv(PB05)_L9_C9,PFNv,PB(L9),19
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1095275456,LPsP(PB13)_L,LPsP,PB(L9),18
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1032643905,PFNa(PB03)_L9_C9,PFNa,PB(L9),17
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,911574261,Delta7(PB15)_L1L9R8_R,Delta7,PB(L9),15
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,881217171,LPsP(PB13)_R,LPsP,PB(L9),14
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1004018344,P6-8P9(PB14)_L,P6-8P9,PB(L9),13
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,5812994148,PFNm_a(PB02a)_L9_C9,PFNm_a,PB(L9),12
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1199677638,PEG(PB07)_L9,PEG,PB(L9),12
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1125411720,PFNp_c(PB01c)_L9_C9,PFNp_c,PB(L9),11
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1282300415,PFNp_a(PB01a)_L9_C8,PFNp_a,PB(L9),11
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1188163963,PFNm_a(PB02a)_L9_C9,PFNm_a,PB(L9),10
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1251275120,PFNa(PB03)_L9_C9,PFNa,PB(L9),10
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1220576923,PEN_a(PB06a)_L9,PEN_a(PEN1),PB(L9),9
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1251607175,,,PB(L9),8
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,5813048042,Delta7(PB15)_L5R4_L,Delta7,PB(L9),7
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1251265778,PFNp_b(PB01b)_L9_C9,PFNp_b,PB(L9),6
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,911919044,Delta7(PB15)_L6R3_L,Delta7,PB(L9),5
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1189549476,PFNm_b(PB02b)_L9_C9,PFNm_b,PB(L9),5
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1251269930,PFNp_e(PB01a)_L9_C8,PFNp_e,PB(L9),5
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,880530613,Delta7(PB15)_L5R4_L,Delta7,PB(L9),5
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,910801332,Delta7(PB15)_L5R4_L,Delta7,PB(L9),4
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,910783731,Delta7(PB15)_L8R1R9_L,Delta7,PB(L9),4
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1219889738,PFNp_c(PB01c)_L9_C9,PFNp_c,PB(L9),4
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,880880259,Delta7(PB15)_L4R5_R,Delta7,PB(L9),4
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,941469087,Delta7(PB15)_L3R6_R,Delta7,PB(L9),4
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,941482720,Delta7(PB15)_L6R3_L,Delta7,PB(L9),4
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1345056477,PFNp_b(PB01b)_L9_C8,PFNp_b,PB(L9),4
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,910442782,Delta7(PB15)_L4R6_R,Delta7,PB(L9),3
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,911129204,Delta7(PB15)_L7R2_L,Delta7,PB(L9),3
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,911565408,P1-9(PB19)_L,P1-9,PB(L9),3
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,911919815,P6-8P9(PB14)_L,P6-8P9,PB(L9),3
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1220239654,,,PB(L9),3
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1661458883,PFNp_c(PB01c)_L9_C9,PFNp_c,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1630462217,PFNp_b(PB01b)_L9_C9,PFNp_b,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1282305753,PFNp_b(PB01b)_L9_C9,PFNp_b,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,5813081686,PFNa(PB03)_L8_C7,PFNa,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,911901802,Delta7(PB15)_L4R6_R,Delta7,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,911138168,Delta7(PB15)_L4R5_R,Delta7,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1189542262,,,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1158747783,Delta7(PB15)_L7R2_L,Delta7,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,973959177,Delta7(PB15)_L6R3_L,Delta7,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,880875736,Delta7(PB15)_L5R4_L,Delta7,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,881221166,Delta7(PB15)_L1L9R8_R,Delta7,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,911919917,Delta7(PB15)_L1L9R8_R,Delta7,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1200027441,PFGs(PB10)_L9_C9,PFGs,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,911241750,Delta7(PB15)_L6R4_L,Delta7,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,911211196,Delta7(PB15)_L6R4_L,Delta7,PB(L9),2
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,910442752,Delta7(PB15)_L8R1R9_L,Delta7,PB(L9),1
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1251265590,PFNp_b(PB01b)_L9_C8,PFNp_b,PB(L9),1
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,911578595,Delta7(PB15)_L8R1R9_L,Delta7,PB(L9),1
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,1282305367,,,PB(L9),1
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,941814787,Delta7(PB15)_L6R3_L,Delta7,PB(L9),1
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,734581598,Delta7(PB15)_L6R3_L,Delta7,PB(L9),1
