,mean_red,mean_green,total_red,total_green,n_red_px,n_green_px
1,226.716114,101.688410,73592504,607995,324602,5979
2,375.739781,107.550936,536670633,8932643,1428304,83055
3,176.532365,98.653880,43300388,223747,245283,2268
4,165.542632,97.089317,40649490,55438,245553,571
5,169.236245,88.022167,57169019,107211,337806,1218
6,191.562021,97.416002,82043715,415187,428288,4262
7,210.844362,95.875711,150510615,1196433,713847,12479
8,220.536557,93.725814,103299544,782798,468401,8352
9,187.193627,95.576870,54947694,208262,293534,2179
10,345.346951,107.093516,588856612,11961489,1705116,111692
11,197.832880,95.814663,76056455,514908,384448,5374
12,207.421195,100.437333,73170108,789337,352761,7859
13,224.544461,103.660570,142618067,1932544,635144,18643
14,242.540061,101.366521,199964336,2591131,824459,25562
15,252.877525,104.332164,137904735,2676746,545342,25656
16,302.312205,103.939544,270485985,6263293,894724,60259
17,240.729671,95.010571,209345503,6731594,869629,70851
18,368.667402,105.295740,451499226,18191945,1224679,172770
