glomerulus,mean_red,mean_green,total_red,total_green
glom_1,759.2710891367514,77.54042084544005,64805306.0,6618230.0
glom_2,740.3805027257176,79.07396473352979,138937584.0,14838783.0
glom_3,734.8688924932189,87.71108698042666,160389545.0,19143471.0
glom_4,1059.5793895069746,91.42903089173772,750478890.0,64757354.0
glom_5,479.4618175922423,62.53071655227257,62101333.0,8099166.0
glom_6,404.0336127213873,56.02338490319881,32827327.0,4551844.0
glom_7,391.15993260474784,52.83885454295136,59664798.0,8059669.0
glom_8,384.1203105304228,45.379932905153495,57593847.0,6804131.0
glom_9,432.7938895531069,52.115802824183284,53574690.0,6451311.0
glom_10,553.0143485059803,48.00183846836566,52339490.0,4543086.0
glom_11,520.9186191228763,46.08631963650731,52737801.0,4665779.0
glom_12,1011.6006265348865,72.91538058096226,570921092.0,41151545.0
glom_13,475.0516522152006,50.838429971624635,42021644.0,4497015.0
glom_14,629.6133636435608,49.92870310679831,55669784.0,4414646.0
glom_15,587.8919433757891,62.07792925708736,78698155.0,8310062.0
glom_16,649.4735546340423,63.36226472186118,94441898.0,9213697.0
glom_17,726.8875381406666,67.97458576339268,75279381.0,7039720.0
glom_18,621.3717192199804,62.81728344993072,91928839.0,9293503.0
