,mean_red,mean_green,total_red,total_green
0,95.689903,22.3198,120096323,23466471
1,244.708255,24.493158,613873783,68059125
2,85.982069,17.833971,95379737,19783188
3,87.822602,13.558714,84603465,13061719
4,93.642687,14.336447,107275845,16423647
5,106.009298,17.595527,135048107,22415417
6,128.30713,20.401557,208664859,33178889
7,119.484986,19.864207,154102773,25619365
8,97.095008,14.987217,100665483,15538342
9,234.183041,26.001336,662037565,73506012
10,105.323247,21.642499,128691526,26444363
11,106.027822,23.489537,123137319,27279997
12,126.8595,24.551414,205863156,39841176
13,141.105013,26.666706,268482061,50739034
14,153.156412,29.18899,176626254,33661940
15,205.923968,35.560629,311569965,53804440
16,146.704492,36.782444,278433829,69810246
17,239.888989,40.622732,535220205,97960443
