,mean_red,mean_green,total_red,total_green
1,1397.6,381.5,599868198.0,38921850.0
2,1374.9,413.0,820225397.0,72036229.0
3,986.7,320.5,673180078.0,58901906.0
4,705.5,307.5,467864973.0,41367606.0
5,586.5,293.5,367984584.0,25657934.0
6,484.4,283.1,218382012.0,15429372.0
7,864.3,266.6,1570193979.0,137625088.0
8,476.5,275.9,260874917.0,20272263.0
9,564.1,288.8,261908593.0,11651150.0
10,660.5,296.2,498335432.0,37809037.0
11,653.6,326.9,625182435.0,58061169.0
12,876.2,326.3,1041331717.0,65339537.0
13,664.1,324.1,347872870.0,35444018.0
14,671.4,329.0,308914283.0,36476323.0
15,1544.7,380.2,2440783708.0,213652463.0
16,682.1,317.4,206569325.0,19092911.0
17,906.5,356.8,430319643.0,41234216.0
18,823.9,405.4,374718837.0,42705921.0
