glomerulus,mean_red,mean_green,total_red,total_green
glom_1,485.0017629453487,82.67508507236276,11829678.0,2016528.0
glom_2,480.49827302366117,61.749636850769875,14885356.0,1912942.0
glom_3,729.7206069508454,89.40000115433786,252862055.0,30978799.0
glom_4,520.6436552862787,55.584438940975296,35318383.0,3770626.0
glom_5,512.0938576529741,68.55343185313774,56934083.0,7621702.0
glom_6,528.8033535328551,60.399589826036774,51310847.0,5860693.0
glom_7,574.8266486887538,70.55807864623462,80574601.0,9890267.0
glom_8,504.83879502917,66.14843089201675,46555224.0,6100076.0
glom_9,472.4624825847542,43.06353523961167,21364281.0,1947290.0
glom_10,504.54789328973766,41.992903321691315,13579402.0,1130197.0
glom_11,737.656932454503,95.60045205319645,252927809.0,32779483.0
glom_12,550.3757533696169,44.933210359060524,30135274.0,2460273.0
glom_13,499.5764445584557,60.06745013788238,31159582.0,3746527.0
glom_14,457.50788357678783,66.29582442277719,25244370.0,3658071.0
glom_15,499.15494244742155,61.81659813414688,33868162.0,4194318.0
glom_16,524.4688880736286,51.72803981305728,32880528.0,3242986.0
glom_17,482.1587689891577,46.158451873999574,31929518.0,3056705.0
glom_18,479.16777590146023,42.3095013410152,19295128.0,1703719.0
