,mean_red,mean_green,total_red,total_green
1,266.6,,121303.0,
2,758.1,251.8,223445824.0,15104779.0
3,719.3,250.6,341380583.0,20159956.0
4,631.5,219.4,338518951.0,22462401.0
5,516.8,214.2,252738972.0,17847546.0
6,417.4,168.5,154780030.0,5328532.0
7,763.1,210.9,1037880737.0,88632729.0
8,504.7,239.9,165585284.0,12193735.0
9,620.1,242.8,190385001.0,15945974.0
10,598.8,202.2,427326060.0,27429237.0
11,576.2,199.4,342875974.0,33817910.0
12,588.8,196.2,353907460.0,30795886.0
13,577.0,201.3,300399968.0,37723775.0
14,699.8,227.4,264993850.0,35597166.0
15,1759.3,340.4,1802634869.0,209147203.0
16,971.9,279.4,271321086.0,28274376.0
17,1011.7,313.2,268926628.0,34311219.0
18,818.3,316.3,140356063.0,21901689.0
