,mean_red,mean_green,total_red,total_green,n_red_px,n_green_px
1,225.692446,176.012325,182000000.0,27789706,807979,157885
2,518.449833,182.664395,1170000000.0,99455283,2265981,544470
3,449.469171,180.675312,1400000000.0,111228600,3116275,615627
4,380.012199,161.470257,1290000000.0,99460834,3396037,615970
5,285.86445,133.725969,652000000.0,42508276,2279545,317876
6,1026.934644,152.305917,3730000000.0,266646842,3634568,1750732
7,280.116305,103.611632,471000000.0,29773735,1682553,287359
8,255.839897,113.992553,500000000.0,41959177,1953145,368087
9,312.35354,122.03514,568000000.0,47703048,1817181,390896
10,435.041242,118.912525,1010000000.0,63866728,2327049,537090
11,414.972943,133.335165,1440000000.0,108274021,3462777,812044
12,363.015346,133.803032,1240000000.0,103096842,3428894,770512
13,320.165792,133.039958,917000000.0,70429225,2863225,529384
14,913.128169,176.044236,5570000000.0,359311039,6100742,2041027
15,447.714101,160.840502,1390000000.0,120804245,3114938,751081
16,622.060559,182.567887,1850000000.0,195291043,2970210,1069690
17,739.572827,185.390896,1650000000.0,159151039,2235132,858462
18,562.493724,204.328317,525000000.0,74404522,932970,364142
