glomerulus,mean_red,mean_green,total_red,total_green
glom_1,774.4651385911524,138.9455679314015,0.0,0.0
glom_2,988.7053607386305,172.8661605238429,0.0,0.0
glom_3,641.0551452437844,114.1117616856573,0.0,0.0
glom_4,588.0100205482447,120.67145105583002,0.0,0.0
glom_5,524.7371152644532,115.26143101857953,0.0,0.0
glom_6,514.3674292682927,126.4377756097561,0.0,0.0
glom_7,652.8381881527039,118.22060902357019,0.0,0.0
glom_8,578.6784952558826,106.94618337771936,0.0,0.0
glom_9,519.9780685136069,55.03560523324492,0.0,0.0
glom_10,741.1987762393429,117.99377824277096,0.0,0.0
glom_11,480.75236352176864,64.0445069329972,0.0,0.0
glom_12,447.6911503352452,91.52410332013895,0.0,0.0
glom_13,434.96942817036927,101.28084696950725,0.0,0.0
glom_14,481.03845359363294,110.75349845075841,0.0,0.0
glom_15,570.2600501090591,112.55428328443774,0.0,0.0
glom_16,622.3826402351323,129.00203447772705,0.0,0.0
glom_17,677.8916831229475,107.43202919580611,0.0,0.0
glom_18,1033.0245167581684,160.75497015291296,0.0,0.0
