glomerulus,mean_red,mean_green,total_red,total_green
glom_1,613.6594851737511,126.73030948901902,111711800.0,23070239.0
glom_2,814.4998133033577,157.1987038756659,416637017.0,80411067.0
glom_3,492.7565377619239,104.02440966937435,146012139.0,30824201.0
glom_4,476.954655963817,109.88395245218472,148900951.0,34304781.0
glom_5,428.8071358349873,104.90312737660217,138704529.0,33932595.0
glom_6,421.10801082342425,114.70379919214415,118744458.0,32344292.0
glom_7,535.1700318181669,108.00919738756103,162982287.0,32893445.0
glom_8,462.84726250906454,95.93857538400685,56167441.0,11642338.0
glom_9,411.3040411158259,52.215383201335804,53699033.0,6817136.0
glom_10,622.7540705600447,105.46354940943017,282763354.0,47886041.0
glom_11,392.21858697529797,60.53504923130074,45411068.0,7008748.0
glom_12,363.5537984887356,84.01229479468955,51865312.0,11985362.0
glom_13,359.44857108008705,93.12424941829919,76622933.0,19851110.0
glom_14,395.56598604411556,101.16975366459046,135144328.0,34564444.0
glom_15,472.9788128056401,104.99822362053393,204753947.0,45454046.0
glom_16,501.80538196775336,117.80080189427689,164453667.0,38606150.0
glom_17,538.7635028820381,99.79961335621041,136278073.0,25243913.0
glom_18,847.2047362783546,144.1137553340359,392310014.0,66733892.0
