,mean_red,mean_green,total_red,total_green,n_red_px,n_green_px
1,1107.438916,430.063947,690922280.000000,22496215,623892,52309
2,1040.314452,434.975082,453983864.000000,15064927,436391,34634
3,1033.271272,384.162070,167313484.000000,3621880,161926,9428
4,1063.630910,465.559490,328697051.000000,17302984,309033,37166
5,973.706051,466.277497,308155570.000000,13854037,316477,29712
6,961.750755,441.305478,233182241.000000,14226806,242456,32238
7,1128.311185,608.506906,299349984.000000,25111863,265308,41268
8,2213.271649,465.291328,3830000000.000000,145236035,1728233,312140
9,1143.135692,409.466237,482000000.000000,9841521,421925,24035
10,1401.681589,413.722824,719000000.000000,19555023,512602,47266
11,1327.229415,472.589638,936000000.000000,34496208,705207,72994
12,1321.878975,455.171170,1250000000.000000,51601390,948624,113367
13,1224.812903,438.831042,846000000.000000,36580078,690990,83358
14,1184.345304,490.599958,644000000.000000,30667894,543727,62511
15,993.846762,431.941313,339000000.000000,12983292,340915,30058
16,2060.920301,490.703247,3170000000.000000,171530227,1537805,349560
17,1248.310913,469.379738,498000000.000000,22998199,398642,48997
18,1081.448610,556.257424,137000000.000000,10564441,127126,18992
