bodyId_pre,instance_pre,type_pre,SynapseCount
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,35
911911004,Delta7(PB15)_L1L9R8_R,Delta7,29
734581598,Delta7(PB15)_L6R3_L,Delta7,27
880530613,Delta7(PB15)_L5R4_L,Delta7,24
911129339,Delta7(PB15)_L4R5_R,Delta7,23
911138168,Delta7(PB15)_L4R5_R,Delta7,23
880875736,Delta7(PB15)_L5R4_L,Delta7,21
5813048042,Delta7(PB15)_L5R4_L,Delta7,19
911919917,Delta7(PB15)_L1L9R8_R,Delta7,19
911211196,Delta7(PB15)_L6R4_L,Delta7,19
910796989,Delta7(PB15)_L5R4_L,Delta7,19
910442723,Delta7(PB15)_L4R5_R,Delta7,17
911919044,Delta7(PB15)_L6R3_L,Delta7,17
941482720,Delta7(PB15)_L6R3_L,Delta7,16
941814787,Delta7(PB15)_L6R3_L,Delta7,16
941810314,Delta7(PB15)_L7R3_L,Delta7,15
910442782,Delta7(PB15)_L4R6_R,Delta7,15
880880259,Delta7(PB15)_L4R5_R,Delta7,15
911901802,Delta7(PB15)_L4R6_R,Delta7,14
911134009,Delta7(PB15)_L4R5_R,Delta7,13
910801332,Delta7(PB15)_L5R4_L,Delta7,13
941469087,Delta7(PB15)_L3R6_R,Delta7,13
942522378,Delta7(PB15)_L2R7_R,Delta7,13
911565419,Delta7(PB15)_L3R6_R,Delta7,12
911129204,Delta7(PB15)_L7R2_L,Delta7,12
911241750,Delta7(PB15)_L6R4_L,Delta7,11
910783961,Delta7(PB15)_L3R6_R,Delta7,11
912243353,Delta7(PB15)_L7R2_L,Delta7,10
910442752,Delta7(PB15)_L8R1R9_L,Delta7,10
973959177,Delta7(PB15)_L6R3_L,Delta7,10
910783731,Delta7(PB15)_L8R1R9_L,Delta7,10
911578496,Delta7(PB15)_L2R7_R,Delta7,10
911470352,Delta7(PB15)_L2R7_R,Delta7,10
911574041,Delta7(PB15)_L2R7_R,Delta7,9
910783883,Delta7(PB15)_L8R1R9_L,Delta7,8
911911193,Delta7(PB15)_L8R1R9_L,Delta7,8
911911699,Delta7(PB15)_L2R7_R,Delta7,7
881221166,Delta7(PB15)_L1L9R8_R,Delta7,7
911906936,Delta7(PB15)_L3R6_R,Delta7,6
1158747783,Delta7(PB15)_L7R2_L,Delta7,5
911578595,Delta7(PB15)_L8R1R9_L,Delta7,2
