bodyId_pre,instance_pre,type_pre,SynapseCount
734581598,Delta7(PB15)_L6R3_L,Delta7,33
911919917,Delta7(PB15)_L1L9R8_R,Delta7,29
942522378,Delta7(PB15)_L2R7_R,Delta7,25
911129339,Delta7(PB15)_L4R5_R,Delta7,24
911901802,Delta7(PB15)_L4R6_R,Delta7,24
911911004,Delta7(PB15)_L1L9R8_R,Delta7,24
881221166,Delta7(PB15)_L1L9R8_R,Delta7,23
911578496,Delta7(PB15)_L2R7_R,Delta7,22
941810314,Delta7(PB15)_L7R3_L,Delta7,21
973959177,Delta7(PB15)_L6R3_L,Delta7,20
911574261,Delta7(PB15)_L1L9R8_R,Delta7,19
910442723,Delta7(PB15)_L4R5_R,Delta7,19
910442782,Delta7(PB15)_L4R6_R,Delta7,18
911134009,Delta7(PB15)_L4R5_R,Delta7,18
941482720,Delta7(PB15)_L6R3_L,Delta7,18
911470352,Delta7(PB15)_L2R7_R,Delta7,17
910801332,Delta7(PB15)_L5R4_L,Delta7,16
880880259,Delta7(PB15)_L4R5_R,Delta7,16
911565419,Delta7(PB15)_L3R6_R,Delta7,15
5813061383,Delta7(PB15)_L1L9R8_R,Delta7,15
911138168,Delta7(PB15)_L4R5_R,Delta7,14
911911699,Delta7(PB15)_L2R7_R,Delta7,14
911574041,Delta7(PB15)_L2R7_R,Delta7,12
911906936,Delta7(PB15)_L3R6_R,Delta7,11
910442752,Delta7(PB15)_L8R1R9_L,Delta7,11
880530613,Delta7(PB15)_L5R4_L,Delta7,11
910783961,Delta7(PB15)_L3R6_R,Delta7,11
911211196,Delta7(PB15)_L6R4_L,Delta7,11
911129204,Delta7(PB15)_L7R2_L,Delta7,10
1158747783,Delta7(PB15)_L7R2_L,Delta7,10
941469087,Delta7(PB15)_L3R6_R,Delta7,9
911241750,Delta7(PB15)_L6R4_L,Delta7,9
912243353,Delta7(PB15)_L7R2_L,Delta7,7
910783883,Delta7(PB15)_L8R1R9_L,Delta7,7
910796989,Delta7(PB15)_L5R4_L,Delta7,6
911911193,Delta7(PB15)_L8R1R9_L,Delta7,6
5813048042,Delta7(PB15)_L5R4_L,Delta7,6
910783731,Delta7(PB15)_L8R1R9_L,Delta7,3
911578595,Delta7(PB15)_L8R1R9_L,Delta7,2
880875736,Delta7(PB15)_L5R4_L,Delta7,2
941814787,Delta7(PB15)_L6R3_L,Delta7,1
