target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
881221166,L1L9R8_R,Delta7,611,41
881221166,L1L9R8_R,EPG,472,40
881221166,L1L9R8_R,LPsP,31,2
881221166,L1L9R8_R,P1-9,21,2
881221166,L1L9R8_R,IbSpsP,20,12
881221166,L1L9R8_R,PFR_b,19,11
881221166,L1L9R8_R,PFNv,11,8
881221166,L1L9R8_R,PFGs,9,8
881221166,L1L9R8_R,EPGt,7,3
881221166,L1L9R8_R,,5,5
881221166,L1L9R8_R,P6-8P9,5,3
881221166,L1L9R8_R,PEN_b(PEN2),3,3
881221166,L1L9R8_R,PFL2,2,2
881221166,L1L9R8_R,PEG,2,2
881221166,L1L9R8_R,SpsP,2,2
881221166,L1L9R8_R,PEN_a(PEN1),1,1
881221166,L1L9R8_R,PFL1,1,1
881221166,L1L9R8_R,PFNp_a,1,1
881221166,L1L9R8_R,SIFa,1,1
