target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
910783883,L8R1R9_L,Delta7,647,41
910783883,L8R1R9_L,EPG,525,39
910783883,L8R1R9_L,LPsP,31,2
910783883,L8R1R9_L,PFNv,19,14
910783883,L8R1R9_L,IbSpsP,17,14
910783883,L8R1R9_L,P1-9,15,2
910783883,L8R1R9_L,PFR_b,15,7
910783883,L8R1R9_L,EPGt,13,2
910783883,L8R1R9_L,P6-8P9,7,2
910783883,L8R1R9_L,PFGs,5,4
910783883,L8R1R9_L,,2,2
910783883,L8R1R9_L,PEN_b(PEN2),1,1
910783883,L8R1R9_L,PFNd,1,1
910783883,L8R1R9_L,PFR_a,1,1
910783883,L8R1R9_L,SIFa,1,1
910783883,L8R1R9_L,SpsP,1,1
