target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
911138168,L4R5_R,Delta7,551,41
911138168,L4R5_R,EPG,358,40
911138168,L4R5_R,EPGt,18,3
911138168,L4R5_R,IbSpsP,18,12
911138168,L4R5_R,LPsP,14,2
911138168,L4R5_R,PFNv,14,10
911138168,L4R5_R,PFR_b,11,6
911138168,L4R5_R,P1-9,8,2
911138168,L4R5_R,PFR_a,2,2
911138168,L4R5_R,PFNd,2,2
911138168,L4R5_R,PFNa,2,2
911138168,L4R5_R,PFL2,2,2
911138168,L4R5_R,PFGs,2,1
911138168,L4R5_R,,2,2
911138168,L4R5_R,PFNp_c,1,1
911138168,L4R5_R,PFL1,1,1
911138168,L4R5_R,PEG,1,1
911138168,L4R5_R,SIFa,1,1
911138168,L4R5_R,SIP081,1,1
911138168,L4R5_R,SpsP,1,1
