target_id,target_instance,upstream_type,synapse_count,n_upstream_cells
911241750,L6R4_L,Delta7,684,41
911241750,L6R4_L,EPG,495,43
911241750,L6R4_L,LPsP,26,2
911241750,L6R4_L,PFNv,21,10
911241750,L6R4_L,PFR_b,15,7
911241750,L6R4_L,IbSpsP,14,9
911241750,L6R4_L,P1-9,11,2
911241750,L6R4_L,EPGt,10,3
911241750,L6R4_L,,7,6
911241750,L6R4_L,PFGs,6,4
911241750,L6R4_L,SpsP,5,2
911241750,L6R4_L,SIFa,4,2
911241750,L6R4_L,P6-8P9,1,1
911241750,L6R4_L,PEG,1,1
911241750,L6R4_L,PFL1,1,1
911241750,L6R4_L,PFNp_e,1,1
