id,instance,type,status,inputs (#post),outputs (#pre),#voxels
15839,L1L9R8_R,Delta7,Traced,1433,639,1072894877
11184,L1L9R8_R,Delta7,Traced,1513,642,1141119393
16234,L1L9R8_R,Delta7,Traced,1161,578,1007352300
15837,L1L9R8_R,Delta7,Traced,1226,620,1062083908
15399,L1L9R8_R,Delta7,Traced,1317,647,1141159839
16540,L2R7_R,Delta7,Traced,1237,622,991793786
511841,L2R7_R,Delta7,Traced,1196,624,1036467693
17143,L2R7_R,Delta7,Traced,1178,606,959218861
519332,L2R7_R,Delta7,Traced,1165,612,814757040
15495,L3R6_R,Delta7,Traced,1278,590,1110271472
16110,L3R6_R,Delta7,Traced,1264,612,1052597632
16180,L3R6_R,Delta7,Traced,1170,620,1007954635
10513,L3R6_R,Delta7,Traced,1179,590,974097078
519331,L3R7_R,Delta7,Traced,1043,540,947621531
434891,L3R7_R,Delta7,Traced,1087,651,907330493
15398,L4R5_R,Delta7,Traced,1213,527,987334577
17379,L4R5_R,Delta7,Traced,1134,561,919911252
15904,L4R5_R,Delta7,Traced,1302,616,1119246845
529318,L4R5_R,Delta7,Traced,1233,541,1076386024
18823,L4R5_R,Delta7,Traced,1296,552,958110280
14509,L4R6_R,Delta7,Traced,1351,609,1176867284
515294,L5R4_L,Delta7,Traced,1390,603,1039499348
524074,L5R4_L,Delta7,Traced,1174,537,943951687
35324,L5R4_L,Delta7,Traced,1223,501,882902640
16553,L5R4_L,Delta7,Traced,1213,529,966758065
17024,L5R4_L,Delta7,Traced,1315,507,944943491
515961,L6R3_L,Delta7,Traced,1192,537,970170819
522994,L6R3_L,Delta7,Traced,1271,570,1017286442
517417,L6R3_L,Delta7,Traced,1270,625,1055436410
14816,L6R4_L,Delta7,Traced,1364,565,1045343351
15851,L6R4_L,Delta7,Traced,1203,599,1062918952
17804,L7R2_L,Delta7,Traced,1193,563,1017105123
18639,L7R2_L,Delta7,Traced,1130,558,957687550
16476,L7R2_L,Delta7,Traced,1144,575,962235039
16412,L7R2_L,Delta7,Traced,1060,592,988491082
17753,L7R3_L,Delta7,Traced,1182,519,998492588
16869,L7R3_L,Delta7,Traced,1050,547,932039780
15409,L8R1R9_L,Delta7,Traced,1390,644,1125482267
533725,L8R1R9_L,Delta7,Traced,1284,630,1146803529
14806,L8R1R9_L,Delta7,Traced,1185,612,1037649736
15654,L8R1R9_L,Delta7,Traced,1314,644,1094016766
568155,L8R1R9_L,Delta7,Traced,1184,619,1016411524
