,mean_red,mean_green,total_red,total_green
1,600.1,312.7,230023447.0,32117557.0
2,832.0,336.0,852960397.0,97966120.0
3,664.5,330.0,453305916.0,60375731.0
4,505.2,340.0,289708849.0,37973759.0
5,376.3,278.2,226715223.0,19097229.0
6,332.6,269.9,150113611.0,14619476.0
7,903.1,326.4,1801818847.0,166100848.0
8,359.5,282.5,242564280.0,15385949.0
9,434.5,276.4,368929242.0,32762558.0
10,478.8,287.6,550693398.0,47370682.0
11,521.4,301.3,748680412.0,64753642.0
12,467.6,301.6,669577671.0,89078596.0
13,500.7,312.5,479200296.0,72659945.0
14,480.2,276.2,264299347.0,28580639.0
15,1467.6,435.9,2690139984.0,312062293.0
16,764.7,353.1,378620963.0,38617586.0
17,985.5,402.1,496444820.0,65665195.0
18,1017.8,546.1,372237932.0,57067335.0
